Code,Area,Recycling_rate
E09000002,Barking and Dagenham,25
E09000003,Barnet,32
E09000004,Bexley,54
E09000005,Brent,34
E09000006,Bromley,51
E09000007,Camden,26
E09000008,Croydon,49
E09000009,Ealing,48
E09000010,Enfield,33
E09000011,Greenwich,33
E09000012,Hackney,28
E09000013,Hammersmith and Fulham,26
E09000014,Haringey,30
E09000015,Harrow,39
E09000016,Havering,38
E09000017,Hillingdon,37
E09000018,Hounslow,32
E09000019,Islington,30
E09000020,Kensington and Chelsea,29
E09000021,Kingston upon Thames,49
E09000022,Lambeth,32
E09000023,Lewisham,27
E09000024,Merton,42
E09000025,Newham,20
E09000026,Redbridge,25
E09000027,Richmond upon Thames,44
E09000028,Southwark,35
E09000029,Sutton,49
E09000030,Tower Hamlets,22
E09000031,Waltham Forest,32
E09000032,Wandsworth,24
E09000033,Westminster,20
